Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
OCSD_P1,2021-07-05,194000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-07,511667.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-09,146333.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-12,359667.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-14,168567.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-16,155000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-19,487333.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-21,292600.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-23,266000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-26,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-28,759000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-07-30,963333.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-02,1760000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-04,2009186.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-06,2521872.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-09,2358475.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-11,1002035.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-13,1333318.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-16,580202.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-18,685865.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-20,1708795.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-23,509475.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-25,865069.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-27,347089.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-08-30,2171460.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-01,371517.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-03,532782.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-06,708532.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-08,1124229.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-10,351107.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-13,189507.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-16,1002079.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-17,698478.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-20,305812.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
