Date,total_tests,cases,pos_rate,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,SC2_N_norm_PMMoV,County
2022-12-31,640.0,55.0,0.0859375,311231.774,1020000000.0,0.0003051291901960784,San Mateo
2023-01-01,384.0,36.0,0.09375,289402.331,949000000.0,0.0003049550379346681,San Mateo
2023-01-02,1118.0,102.0,0.09123434704830054,313316.066,829000000.0,0.0003779445910735826,San Mateo
2023-01-03,2344.0,190.0,0.0810580204778157,217144.322,771000000.0,0.00028163984695201035,San Mateo
2023-01-04,1240.0,98.0,0.07903225806451612,274475.587,910000000.0,0.0003016215241758242,San Mateo
2023-01-05,1274.0,92.0,0.07221350078492936,639406.408,1150000000.0,0.0005560055721739131,San Mateo
2023-01-06,1673.0,129.0,0.07710699342498506,916576.256,927000000.0,0.0009887554002157499,San Mateo
2023-01-07,755.0,67.0,0.08874172185430464,206027.652,607000000.0,0.0003394195255354201,San Mateo
2023-01-08,529.0,43.0,0.08128544423440454,475786.114,539000000.0,0.0008827200630797773,San Mateo
2023-01-09,2098.0,101.0,0.048141086749285036,374522.646,880000000.0,0.0004255939159090909,San Mateo
2023-01-10,1636.0,102.0,0.06234718826405868,230971.282,814000000.0,0.0002837485036855037,San Mateo
2023-01-11,1401.0,91.0,0.0649536045681656,236382.715,1040000000.0,0.00022729107211538462,San Mateo
2023-01-12,1432.0,67.0,0.0467877094972067,148409.573,878000000.0,0.00016903140432801824,San Mateo
2023-01-13,1246.0,71.0,0.05698234349919743,74562.7191,577000000.0,0.0001292248164644714,San Mateo
2023-01-14,702.0,57.0,0.0811965811965812,312619.601,796000000.0,0.0003927381922110553,San Mateo
2023-01-15,431.0,31.0,0.07192575406032482,107652.881,867000000.0,0.00012416710611303343,San Mateo
2023-01-16,1063.0,46.0,0.043273753527751646,218513.046,698000000.0,0.00031305593982808023,San Mateo
2023-01-17,1869.0,68.0,0.03638309256286784,153843.452,1060000000.0,0.00014513533207547168,San Mateo
2023-01-18,1356.0,67.0,0.049410029498525077,89014.3781,749000000.0,0.00011884429652870494,San Mateo
2023-01-19,1625.0,61.0,0.03753846153846154,115148.157,978000000.0,0.0001177384018404908,San Mateo
2023-01-20,1238.0,63.0,0.05088852988691438,99624.762,805000000.0,0.00012375746832298136,San Mateo
2023-01-21,561.0,28.0,0.049910873440285206,,,,San Mateo
2023-01-22,448.0,31.0,0.06919642857142858,103932.205,4490000000.0,2.3147484409799555e-05,San Mateo
2023-01-23,1849.0,83.0,0.04488912925905895,94334.8437,684000000.0,0.00013791643815789473,San Mateo
2023-01-24,1586.0,70.0,0.044136191677175286,124280.091,932000000.0,0.00013334773712446351,San Mateo
2023-01-25,1349.0,69.0,0.05114899925871016,302065.898,1140000000.0,0.0002649700859649123,San Mateo
2023-01-26,1687.0,81.0,0.048014226437462955,225153.813,1580000000.0,0.00014250241329113924,San Mateo
2023-01-27,1233.0,77.0,0.062449310624493104,208251.101,671000000.0,0.00031035931594634874,San Mateo
2023-01-28,740.0,39.0,0.052702702702702706,316098.894,947000000.0,0.0003337897507919746,San Mateo
2023-01-29,478.0,26.0,0.05439330543933055,142061.771,1030000000.0,0.00013792404951456312,San Mateo
2023-01-30,1800.0,94.0,0.052222222222222225,207618.672,1590000000.0,0.00013057778113207547,San Mateo
2023-01-31,1603.0,95.0,0.059263880224578916,174953.143,1350000000.0,0.00012959492074074075,San Mateo
2023-02-01,1276.0,71.0,0.055642633228840124,171245.9,916000000.0,0.00018694967248908295,San Mateo
2023-02-02,1447.0,90.0,0.06219765031098825,829079.787,908000000.0,0.0009130834658590309,San Mateo
2023-02-03,1189.0,71.0,0.05971404541631623,349832.735,1110000000.0,0.0003151646261261261,San Mateo
