Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
PA_ALL,2023-03-10,445592.280510638,812090328.510638,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-11,176247.301416404,869757968.075117,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-12,129375.122095059,1284396647.46667,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-13,633558.894999172,1387557195.11737,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-14,354440.67222331,758750747.826087,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-15,493440.212262302,1241640766.14493,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-16,202214.52048493,1197842572.19048,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-17,416215.077708037,961173159.061033,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-18,276876.933066265,1383616286.26781,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-19,125463.47830975,1554691178.81279,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-20,207448.809907889,1890400542.42894,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-21,237355.120056966,929157350.877193,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-22,643082.982720926,916215473.661202,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-23,280783.754252219,1058246313.91813,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-24,212129.790955922,870117838.222222,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-25,427165.430250467,1114994417.44548,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-26,265198.67172872,9172849648.10458,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-27,216059.049330447,1521141145.6,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-28,94475.3374151261,1031238301.90476,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-29,491159.040673828,764109382.028986,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-30,385688.628871785,883044433.627119,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-31,83785.1967197523,727437390.736842,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-01,278513.327596829,732384186.174941,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-02,219170.989289412,897059983.589743,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-03,110598.813177989,1310713310.96774,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-04,197782.903852657,1013489920.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-05,204368.235991036,1121254863.49206,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-06,115864.593890233,746519803.534884,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-07,131221.453353248,881746843.826087,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-08,210468.822706052,1111371566.81055,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-09,220420.072167254,783139628.025478,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-10,421809.800193242,1265227881.98582,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-11,967116.898076934,1477099060.97378,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-12,297206.874094989,1189560727.90123,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-13,201845.105952804,856268179.961014,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-14,131795.415392513,901323620.309764,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-15,71975.9914340627,488349852.71028,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-16,115162.123848916,857703136.467837,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-17,561589.473166176,826382064.833333,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-18,102101.382746749,1305501424.7619,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-19,103773.692012101,936002139.428571,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-04-20,196045.487317647,1112220001.11111,236000,San Mateo,94303.0,N,,,Palo Alto,
